Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Hot Water,Unplanned,10/29/24,06:45 AM,10/29/24 09:57 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Hot Water,Unplanned,03/23/25,04:10 PM,03/23/25 11:33 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Heat,Unplanned,03/23/25,04:10 PM,03/23/25 11:30 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Hot Water,Unplanned,03/02/25,05:37 PM,03/02/25 10:17 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Heat,Unplanned,03/02/25,05:37 PM,03/02/25 10:15 PM,1,220,0
1010 EAST 178TH STREET - Entire Development,1010 EAST 178TH STREET,"BRONX, NY 10460",Hot Water,Unplanned,03/01/25,07:21 AM,03/01/25 02:24 PM,1,220,0
1162-1176 WASHINGTON AVENUE - Building 01,1162 WASHINGTON AVENUE,"BRONX, NY 10456",Heat,Planned,02/13/25,10:00 AM,02/13/25 07:42 PM,1,66,121
1162-1176 WASHINGTON AVENUE - Entire Development,1162 WASHINGTON AVENUE,"BRONX, NY 10456",Heat,Planned,02/07/25,10:00 AM,02/07/25 06:36 PM,1,66,121
1162-1176 WASHINGTON AVENUE - Entire Development,1162 WASHINGTON AVENUE,"BRONX, NY 10456",Heat,Unplanned,01/24/25,04:36 PM,01/24/25 11:13 PM,1,66,121
1162-1176 WASHINGTON AVENUE - Entire Development,1162 WASHINGTON AVENUE,"BRONX, NY 10456",Heat,Unplanned,01/04/25,08:12 AM,01/05/25 02:54 AM,1,66,121
131 SAINT NICHOLAS AVENUE - Entire Development,131 SAINT NICHOLAS AVENUE,"NEW YORK, NY 10026",Heat,Unplanned,03/02/25,11:26 PM,03/03/25 06:02 AM,1,100,124
1471 WATSON AVENUE - Entire Development,1471 WATSON AVENUE,"BRONX, NY 10472",Hot Water,Unplanned,02/02/25,07:00 PM,02/03/25 02:25 AM,1,96,122
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,04/26/25,08:28 AM,04/26/25 12:51 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,04/19/25,11:22 AM,04/19/25 07:55 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,03/01/25,08:05 AM,03/01/25 03:08 PM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/27/25,05:01 AM,01/27/25 11:09 AM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Heat,Unplanned,01/27/25,05:01 AM,01/27/25 11:06 AM,1,234,472
303 VERNON AVENUE - Building 01,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/22/25,12:00 AM,01/22/25 07:23 AM,1,234,472
303 VERNON AVENUE - Building 01,303 VERNON AVENUE,"BROOKLYN, NY 11206",Heat,Unplanned,01/22/25,12:00 AM,01/22/25 05:20 AM,1,234,472
303 VERNON AVENUE - Entire Development,303 VERNON AVENUE,"BROOKLYN, NY 11206",Hot Water,Unplanned,01/21/25,10:06 AM,01/21/25 07:53 PM,1,234,472
